1,1,14,4
1,1,19,6
1,1,20,5
1,1,10,4
1,1,22,8
1,1,9,8
1,1,12,2
1,1,5,5
1,1,2,3
1,1,1,6
1,1,17,8
2,2,1,1
2,2,11,1
2,2,24,5
2,2,15,6
2,2,9,3
2,2,3,6
2,2,5,1
2,2,4,6
2,2,16,7
2,2,13,3
2,2,17,6
2,2,2,4
3,3,18,6
3,3,6,6
3,3,7,7
3,3,11,9
3,3,22,5
3,3,14,6
3,3,3,8
3,3,20,1
3,3,19,6
3,3,25,3
4,4,25,6
4,4,7,6
4,4,6,7
4,4,2,4
4,4,3,3
4,4,18,8
4,4,17,4
4,4,24,8
4,4,8,3
4,4,12,1
4,4,10,6
5,5,24,9
5,5,3,1
5,5,15,7
5,5,13,4
5,5,18,1
5,5,14,1
5,5,17,3
5,5,20,3
5,5,25,1
5,5,4,3
6,6,1,3
6,6,22,5
6,6,21,5
6,6,5,4
6,6,2,5
6,6,15,9
6,6,4,7
6,6,17,6
6,6,16,8
6,6,24,4
6,6,10,9
6,6,14,1
7,7,18,4
7,7,11,1
7,7,14,2
7,7,22,3
7,7,25,9
7,7,2,3
7,7,16,8
7,7,13,5
7,7,7,1
7,7,6,6
8,8,15,3
8,8,13,2
8,8,7,6
8,8,22,6
8,8,10,6
8,8,4,1
8,8,17,8
8,8,6,5
8,8,16,5
8,8,5,5
8,8,8,4
8,8,1,9
9,9,10,3
9,9,22,5
9,9,8,7
9,9,5,7
9,9,24,7
9,9,13,5
9,9,19,7
9,9,25,1
9,9,20,7
9,9,7,9
9,9,23,5
9,9,3,2
10,10,16,7
10,10,7,6
10,10,11,3
10,10,4,8
10,10,1,9
10,10,3,9
10,10,2,6
10,10,25,3
10,10,20,6
11,11,5,3
11,11,19,3
11,11,1,7
11,11,16,9
11,11,23,2
11,11,8,9
11,11,7,7
11,11,6,2
11,11,3,5
11,11,4,3
11,11,13,2
11,11,22,9
11,11,2,9
12,12,12,1
12,12,22,8
12,12,19,2
12,12,7,4
12,12,16,2
12,12,9,7
12,12,15,5
12,12,23,9
12,12,11,4
12,12,5,9
12,12,24,2
13,13,15,6
13,13,3,1
13,13,9,6
13,13,25,7
13,13,12,8
13,13,13,6
13,13,23,3
13,13,4,8
13,13,7,3
14,14,2,4
14,14,17,3
14,14,14,6
14,14,22,2
14,14,1,1
14,14,23,3
14,14,10,7
14,14,7,3
14,14,19,3
14,14,15,5
14,14,20,4
15,15,23,9
15,15,5,5
15,15,12,9
15,15,6,1
15,15,22,8
15,15,15,3
15,15,20,7
15,15,18,7
15,15,16,6
16,16,17,8
16,16,19,7
16,16,8,2
16,16,3,8
16,16,18,4
16,16,24,9
16,16,4,8
16,16,15,1
16,16,23,5
16,16,9,5
16,16,6,3
16,16,2,2
17,17,6,4
17,17,19,5
17,17,2,1
17,17,14,8
17,17,4,1
17,17,5,9
17,17,3,5
17,17,23,4
17,17,10,7
17,17,24,5
17,17,9,4
18,18,12,4
18,18,23,8
18,18,18,1
18,18,20,8
18,18,22,4
18,18,1,3
18,18,3,2
18,18,2,8
19,19,18,7
19,19,1,2
19,19,20,6
19,19,25,1
19,19,23,1
19,19,10,7
19,19,3,7
19,19,15,4
19,19,9,3
19,19,17,3
20,20,9,8
20,20,14,3
20,20,21,2
20,20,19,8
20,20,2,2
20,20,15,4
20,20,11,3
20,20,23,5
20,20,8,2
20,20,24,3
20,20,3,2
20,20,4,9
20,20,25,2
21,21,17,7
21,21,5,8
21,21,11,5
21,21,21,2
21,21,23,4
21,21,15,8
21,21,24,7
21,21,16,7
21,21,9,3
21,21,6,4
22,22,15,8
22,22,20,8
22,22,9,5
22,22,3,7
22,22,1,4
22,22,22,4
22,22,17,1
22,22,12,7
22,22,11,7
22,22,10,3
22,22,18,3
23,23,25,5
23,23,11,9
23,23,1,9
23,23,24,3
23,23,23,7
23,23,16,6
23,23,5,8
23,23,9,6
23,23,7,6
23,23,19,5
23,23,10,5
23,23,17,6
23,23,13,1
24,24,8,3
24,24,25,7
24,24,18,8
24,24,5,9
24,24,13,8
24,24,9,5
24,24,24,7
24,24,2,1
24,24,6,3
24,24,3,9
24,24,20,7
24,24,1,1
25,25,24,4
25,25,21,3
25,25,22,3
25,25,7,2
25,25,17,7
25,25,1,2
25,25,25,7
25,25,5,5
25,25,11,3
25,25,15,3
25,25,9,9
26,26,6,9
26,26,5,1
26,26,9,5
26,26,12,1
26,26,7,7
26,26,17,9
26,26,3,6
26,26,25,1
26,26,11,6
26,26,15,5
26,26,21,1
26,26,23,6
27,27,3,7
27,27,21,4
27,27,18,4
27,27,1,9
27,27,23,1
27,27,20,5
27,27,2,7
27,27,8,5
27,27,22,2
27,27,5,6
27,27,11,7
27,27,9,4
28,28,24,1
28,28,2,7
28,28,23,5
28,28,21,1
28,28,15,5
28,28,19,5
28,28,17,7
28,28,22,2
28,28,5,5
28,28,18,9
28,28,9,6
28,28,6,5
28,28,13,7
29,29,13,9
29,29,19,7
29,29,4,7
29,29,1,9
29,29,15,4
29,29,17,1
29,29,6,6
29,29,10,4
29,29,14,5
29,29,23,3
29,29,22,6
30,30,14,5
30,30,7,3
30,30,18,9
30,30,20,3
30,30,12,2
30,30,10,2
30,30,15,5
30,30,24,8
30,30,13,6
30,30,6,2
30,30,22,3
30,30,3,9
30,30,21,7
31,31,5,7
31,31,21,5
31,31,11,2
31,31,4,9
31,31,24,8
31,31,22,2
31,31,6,6
31,31,7,9
31,31,13,2
31,31,25,3
31,31,3,4
31,31,19,3
32,32,3,6
32,32,17,2
32,32,18,6
32,32,23,1
32,32,10,5
32,32,6,8
32,32,5,3
32,32,7,7
32,32,19,3
32,32,9,8
33,33,18,9
33,33,24,3
33,33,15,4
33,33,19,6
33,33,8,3
33,33,11,2
33,33,20,7
33,33,2,9
33,33,5,8
33,33,9,9
33,33,7,8
33,33,21,3
34,34,5,5
34,34,25,9
34,34,14,4
34,34,11,2
34,34,23,8
34,34,15,2
34,34,6,6
34,34,20,7
34,34,22,7
34,34,18,8
34,34,8,5
35,35,1,9
35,35,18,9
35,35,17,8
35,35,5,5
35,35,24,7
35,35,14,6
35,35,20,9
35,35,12,7
35,35,22,1
36,36,8,2
36,36,2,4
36,36,17,7
36,36,10,4
36,36,19,7
36,36,11,7
36,36,20,1
36,36,22,5
36,36,16,4
36,36,1,9
36,36,5,2
37,37,12,7
37,37,13,6
37,37,23,2
37,37,14,4
37,37,4,2
37,37,8,6
